Index,Date,Airport,User Class,Aircraft Type,Departures,Nautical MPG,Fuel Cost(Avg),Passenger Capacity,NM Distance to MCO (Orlando),NM Distance to DAB (Daytona Beach),Estimated Fuel Cost to MCO,Estimated Fuel Cost to DAB
171,9/30/2022,MIA,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,167.367911,207.2844794,4867.62,6028.52
172,10/1/2022,ATL,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,351.4968047,318.6082765,10222.7,9266.19
173,9/21/2022,ATL,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,351.4968047,318.6082765,10222.7,9266.19
174,9/21/2022,MIA,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,167.367911,207.2844794,4867.62,6028.52
175,9/22/2022,DFW,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,854.5964742,850.9932531,24854.51,24749.72
176,9/22/2022,MIA,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,167.367911,207.2844794,4867.62,6028.52
177,9/23/2022,ATL,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,351.4968047,318.6082765,10222.7,9266.19
178,9/23/2022,MIA,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,167.367911,207.2844794,4867.62,6028.52
179,9/24/2022,MIA,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,167.367911,207.2844794,4867.62,6028.52
180,9/25/2022,MIA,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,167.367911,207.2844794,4867.62,6028.52
181,9/26/2022,DFW,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,854.5964742,850.9932531,24854.51,24749.72
182,9/26/2022,MIA,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,167.367911,207.2844794,4867.62,6028.52
183,9/27/2022,MIA,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,167.367911,207.2844794,4867.62,6028.52
184,9/28/2022,ATL,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,351.4968047,318.6082765,10222.7,9266.19
185,9/28/2022,MIA,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,167.367911,207.2844794,4867.62,6028.52
186,9/29/2022,MIA,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,167.367911,207.2844794,4867.62,6028.52
187,9/30/2022,ATL,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,351.4968047,318.6082765,10222.7,9266.19
188,9/30/2022,MIA,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,167.367911,207.2844794,4867.62,6028.52
189,10/1/2022,MIA,Air Carrier,B77W - Boeing 777-300ER,1,0.12,3.49,224,167.367911,207.2844794,4867.62,6028.52
190,9/21/2022,ATL,Air Carrier,B752 - Boeing 757-200,112,0.13,3.49,200,351.4968047,318.6082765,9436.34,8553.41
191,9/21/2022,BNA,Air Carrier,B752 - Boeing 757-200,2,0.13,3.49,200,536.1061218,504.3115991,14392.39,13538.83
192,9/21/2022,CHS,Air Carrier,B752 - Boeing 757-200,3,0.13,3.49,200,276.0902329,229.3231099,7411.96,6156.44
193,9/21/2022,CLT,Air Carrier,B752 - Boeing 757-200,1,0.13,3.49,200,407.667284,362.3375507,10944.3,9727.37
194,9/21/2022,FLL,Air Carrier,B752 - Boeing 757-200,8,0.13,3.49,200,154.4543168,192.6778018,4146.5,5172.66
195,9/21/2022,MCO,Air Carrier,B752 - Boeing 757-200,9,0.13,3.49,200,0,46.83699169,0,1257.39
196,9/21/2022,MEM,Air Carrier,B752 - Boeing 757-200,1,0.13,3.49,200,594.0700318,573.6705183,15948.5,15400.85
197,9/21/2022,MIA,Air Carrier,B752 - Boeing 757-200,7,0.13,3.49,200,167.367911,207.2844794,4493.18,5564.79
